row_index,language,subject,true_queue,pred_queue,queue_correct,true_priority,pred_priority,priority_correct,true_answer,pred_reply_draft
100,es,Asistencia requerida para la configuración del idioma de MacBook,Technical Support,Product Support,False,medium,low,False,"Estimado <name>,

Gracias por contactarnos para recibir asistencia con su MacBook Air M1. Estaré encantado de guiarle a través del cambio de la configuración de idioma a francés.

Aquí están los pasos que necesita seguir:

1. Haga clic en el menú de Apple en la esquina superior izquierda y seleccione ""Preferencias del Sistema.""
2. Haga clic en ""Idioma y Región.""
3. Haga clic en el botón ""+"" debajo de la lista de ""Idiomas preferidos"" en el lado izquierdo.
4. En la lista que aparece, busque y seleccione ""Francés,"" luego haga clic en ""Agregar.""
5. Aparecerá un mensaje preguntando si desea usar el francés como el idioma principal. Haga clic en ""Usar francés.""
6. Reinicie su Mac para aplicar estos cambios completamente.

Después de reiniciar, el francés debería estar configurado en todos los mensajes del sistema y aplicaciones. Si se le solicita ajustar la configuración del idioma de las aplicaciones individualmente, hágalo.

Si su Mac no muestra el francés como una opción, asegúrese de que su macOS esté actualizado haciendo clic en ""Preferencias del Sistema"" y seleccionando ""Actualización de software.""

Si tiene más preguntas, no dude en contactarnos en <email_address> o <tel_num>.

Esperamos que estas instrucciones sean útiles y que su experiencia en su idioma preferido sea agradable.

Atentamente,
Equipo de soporte de Tech Online Store","Estimado/a <name>, gracias por ponerse en contacto con nosotros y por su reciente compra. Para cambiar el idioma del sistema a francés en su MacBook Air M1, le recomendamos seguir estos pasos: vaya a 'Configuración del Sistema' > 'General' > 'Idioma y Región', haga clic en el botón '+' para agregar 'Français', selecciónelo como idioma principal y reinicie el equipo para aplicar los cambios. Si el problema persiste o necesita asistencia adicional, no dude en responder a este mensaje y con gusto le brindaremos apoyo personalizado."
101,en,Performance Issue with Dell XPS 13 9310 Demo,Sales and Pre-Sales,Sales and Pre-Sales,True,medium,medium,True,"Dear <name>,

Thank you for bringing this to our attention. We are sorry to hear about the performance issues you experienced with the Dell XPS 13 9310 during the demonstration. We take such feedback seriously and will investigate the problem promptly. Our technical team is looking into the matter to ensure the device meets expected performance standards. We will update you on the actions taken to address this issue. We appreciate your understanding and patience.

Best regards,
Customer Support Team","Thank you for bringing this to our attention and for taking the time to share your observations during the pre-sales demonstration. We sincerely apologize for the subpar experience, as the performance you described — including lags and overheating — does not reflect the expected standard of the Dell XPS 13 9310. We have escalated this matter to our in-store technical team to inspect and address the demo unit promptly. We appreciate your feedback, as it helps us ensure that all customers receive an accurate and positive representation of our products."
102,de,Sofortige Unterstützung bei Routerproblemen erforderlich,Technical Support,Technical Support,True,high,high,True,"Sehr geehrter <name>,

wir schätzen Ihre Mitteilung. Wir erkennen die Ernsthaftigkeit Ihrer Situation und sind bereit zu helfen. Bitte stellen Sie sicher, dass die Firmware des Routers die neueste Version ist, und überprüfen Sie alle Kabelverbindungen. Unser technisches Team wird sich in Kürze unter <tel_num> mit Ihnen in Verbindung setzen, um das Problem weiter zu analysieren und zu beheben.

Mit freundlichen Grüßen,
Ihr Kundenserviceteam","Sehr geehrte/r Damen und Herren, vielen Dank für Ihre Kontaktaufnahme bezüglich der wiederholt auftretenden Ausfälle Ihres Cisco ISR4331-Routers. Wir verstehen, dass diese Situation Ihre Netzwerkleistung erheblich beeinträchtigt, und behandeln Ihre Anfrage daher mit höchster Priorität. Ein technischer Mitarbeiter wird sich schnellstmöglich unter der von Ihnen angegebenen Telefonnummer bei Ihnen melden, um das Problem gemeinsam zu analysieren und eine Lösung zu erarbeiten. Wir bitten Sie, in der Zwischenzeit falls möglich Fehlermeldungen oder Protokolldateien des Routers zu sichern, da diese die Fehlerdiagnose erheblich beschleunigen können."
103,en,Urgent Help Needed: Adobe Photoshop 2024 Access Issue,Technical Support,Technical Support,True,high,high,True,"Dear <name>,

Thank you for reaching out concerning the issue with your Adobe Photoshop 2024 access. We understand the urgency and are here to assist you. Firstly, please ensure your Creative Cloud application is updated to the latest version, as updates often resolve these access errors. If the issue persists, try signing out and signing back into your Creative Cloud account. 

If neither solution works, please reach out directly to our technical support team, who can provide further assistance with your specific account. They can be contacted through your preferred method, phone or email, using your account number <acc_num> for reference.

We are working to resolve this as swiftly as possible, keeping your project deadlines in mind. Please let us know if you need further assistance.

Best regards,
Customer Support Team","Dear <name>, thank you for reaching out to us regarding your Adobe Photoshop 2024 access issue — we understand how critical this is to your project timelines and sincerely apologize for the inconvenience. We have escalated your case as high priority and our technical team will investigate the errors affecting your Creative Cloud subscription (account: <acc_num>) immediately. A specialist will be in touch with you shortly via your registered email or at <tel_num> to guide you through a resolution. In the meantime, you may try signing out and back into Creative Cloud, or clearing the application cache, as these steps sometimes resolve access-related errors."
104,en,Assistance Required for Software Deployment Configuration,Product Support,IT Support,False,medium,high,False,"Dear <name>,

Thank you for reaching out to us regarding the challenges you are facing with the software deployment configuration. We apologize for any inconvenience you are experiencing.

We will arrange for one of our technical specialists to review your configuration settings as soon as possible. Our goal is to resolve the connectivity problems and streamline the deployment process for your company efficiently.

Our support team will contact you shortly at <tel_num> to confirm a suitable time for the review. Please rest assured that we are committed to providing the necessary assistance to overcome these technical hurdles.

Thank you for your patience and partnership.

Best regards,

Customer Support Team
IT Consulting Firm","Thank you for reaching out and for providing a detailed description of the challenges you are experiencing with your software deployment configuration. We understand how critical a smooth implementation is to your operations, and we sincerely apologize for the inconvenience caused by the configuration misalignment. A senior technical specialist will be assigned to your case and will contact you at the earliest opportunity to review your existing infrastructure settings and work with you toward a timely resolution. In the meantime, please feel free to share any relevant configuration files, error logs, or system details that may help us expedite the troubleshooting process."
105,pt,Solicitação de Troca: Problema com a Tela Touchscreen do Dell XPS 13 9310,Returns and Exchanges,Returns and Exchanges,True,medium,medium,True,"Caro <name>,

Obrigado por entrar em contato sobre o problema da tela touchscreen com seu Dell XPS 13 9310. Pedimos desculpas pelo inconveniente. Para prosseguir com a troca, por favor, visite nossa loja ou entre em contato com nosso serviço de atendimento ao cliente com seu número do pedido <order_num> para mais assistência. Nossa equipe ficará feliz em ajudar. Informe-nos se houver algo mais que possamos fazer para ajudar.

Atenciosamente,
Equipe de Suporte ao Cliente","Caro(a) <name>, obrigado por entrar em contato com nosso suporte. Lamentamos os inconvenientes causados pelo problema com a tela touchscreen do seu Dell XPS 13 9310. Nossa equipe irá analisar o seu pedido (<order_num>) e retornará em breve com as instruções necessárias para realizar a troca do produto. Caso precise de assistência adicional, não hesite em nos contatar pelo telefone <tel_num>."
106,fr,Urgent : Les plantages de la base de données MySQL 8.0.30,IT Support,Technical Support,False,medium,high,False,Nous enquêtons sur le problème de plantage de MySQL 8.0.30. Notre équipe travaillera rapidement pour restaurer le temps de disponibilité de la base de données et vous tiendra informé sous peu. Merci de votre patience.,"Nous avons bien reçu votre signalement concernant les plantages répétés de MySQL 8.0.30 et nous comprenons l'urgence de la situation. Notre équipe technique prend en charge votre ticket immédiatement et va procéder à une investigation approfondie pour identifier la cause des incidents. Afin d'accélérer le diagnostic, pourriez-vous nous fournir les journaux d'erreurs MySQL ainsi que tout message d'erreur récent observé ? Nous vous tiendrons informé de l'avancement de la résolution dans les plus brefs délais."
107,en,Incident with Server Performance Assistance,IT Support,Technical Support,False,medium,high,False,"Dear <name>, thank you for reaching out. Please submit a ticket via our ticket system. Our team will prioritize your request and work on resolving the server performance issue promptly. Do not hesitate to reach out if you need further assistance. Best regards, IT Services Support.","Dear valued customer, thank you for reaching out and bringing this server performance issue to our attention. We understand how critical efficient IT operations are to your business, and we are prioritizing your case accordingly. A member of our technical support team will be in touch with you shortly to investigate the issue and work toward a prompt resolution. Please feel free to provide any additional details, such as error logs or performance metrics, to help us expedite the process."
108,de,"Liebes Kundenserviceteam, ich habe ein Anliegen bei der...",Technical Support,Technical Support,True,high,medium,False,"Sehr geehrter <name>,

Wir bedauern, dass Sie Probleme bei der Installation von Norton Antivirus Plus erleben. Bitte versuchen Sie, Ihren Computer neu zu starten und die Installation mit Administratorrechten durchzuführen. Sollte das Problem weiterhin bestehen, kontaktieren Sie uns bitte direkt unter <tel_num> mit Ihrer Kontonummer <acc_num>.

Mit besten Grüßen,
Ihr Kundenserviceteam","Sehr geehrte/r <name>, vielen Dank für Ihre Nachricht und Ihre Geduld. Es tut uns leid zu hören, dass die Installation von Norton Antivirus Plus bereits in der ersten Phase stockt. Unser technisches Support-Team wird sich umgehend mit Ihnen in Verbindung setzen, um das Problem zu analysieren und gemeinsam mit Ihnen zu lösen. Bitte halten Sie in der Zwischenzeit Ihre Kontonummer und Geräteinformationen bereit, damit wir Ihnen schnellstmöglich helfen können."
109,pt,Jams frequentes de papel com Canon PIXMA MG3620,Product Support,Product Support,True,low,medium,False,"Caro <name>,

Obrigado por entrar em contato conosco sobre os problemas que você está enfrentando com sua impressora Canon PIXMA MG3620. Para resolver os jams frequentes de papel durante a impressão duplex, siga estas etapas de solução de problemas:

1. Certifique-se de que está usando o tipo e o tamanho corretos de papel, conforme especificado para o modelo da sua impressora.
2. Verifique se há obstruções ou detritos dentro da impressora que possam causar jams.
3. Certifique-se de que o papel esteja alinhado corretamente na bandeja de entrada e não esteja excessivamente preenchido.
4. Tente imprimir com o painel de acesso traseiro aberto para remover facilmente qualquer papel preso.

Para mais assistência, consulte o manual da sua impressora ou o site de suporte da Canon para instruções mais detalhadas.

Quanto à substituição ou reparo, verifique se sua impressora ainda está sob garantia verificando seu comprovante de compra. Se estiver, você pode ser elegível para reparo ou substituição. Entre em contato com nossa equipe de suporte à garantia com os detalhes da sua compra para mais assistência.

Se houver mais alguma dúvida ou se o problema persistir, não hesite em nos contatar.

Atenciosamente,
Equipe de Suporte ao Cliente","Olá, obrigado por entrar em contato conosco a respeito do problema com sua impressora Canon PIXMA MG3620. Jams frequentes durante a impressão duplex podem ser causados por papel inadequado, rolos de alimentação sujos ou configurações incorretas — recomendamos verificar se o papel utilizado está dentro das especificações do fabricante, limpar os rolos de alimentação com um pano levemente umedecido e certificar-se de que as guias do papel estejam corretamente ajustadas. Caso os passos de solução de problemas não resolvam o problema, podemos avaliar as opções de reparo ou substituição sob garantia, para isso, por favor, nos envie o comprovante de compra e o número de série da impressora. Nossa equipe técnica estará à disposição para orientá-lo durante todo o processo."
110,es,Urgente: Interrupción de red por el router ISR4331,IT Support,Technical Support,False,high,high,True,"Estimado <name>,

Gracias por ponerse en contacto. Entendemos la urgencia de la interrupción de la red causada por el router Cisco ISR4331. Nuestro equipo técnico ha sido notificado de inmediato y abordará este problema como prioridad. Nuestro objetivo es resolverlo lo más rápido posible y lo mantendremos informado sobre el progreso.

Atentamente,
Equipo de soporte","Estimado/a <name>, hemos recibido su solicitud y entendemos la urgencia de la interrupción de red causada por el router Cisco ISR4331. Nuestro equipo técnico especializado ha sido notificado y atenderá su caso con la máxima prioridad a la brevedad posible. Le pedimos que, mientras tanto, nos proporcione información adicional como los mensajes de error observados, los logs del dispositivo y el impacto en los usuarios afectados para agilizar el diagnóstico. Nos pondremos en contacto con usted en el menor tiempo posible para coordinar la intervención técnica necesaria."
111,en,Assistance Needed with Software Development Process,IT Support,IT Support,True,medium,medium,True,"Hello <name>,

Thank you for reaching out. We can certainly assist with integrating a new ticketing system and streamlining your software development process. I recommend setting up a consultation session with one of our specialists, where we'll tailor a solution to fit your team's needs. Please let us know your availability or any specific details you want us to focus on, and we'll get back to you promptly.

Best regards,
Service Desk Agent","Thank you for reaching out to us, and we appreciate your interest in streamlining your software development and ticketing system integration processes. Our IT Support team would be happy to assist you in evaluating the best approach for your team's needs. Could you please provide more details about your current development environment, the ticketing system you are looking to integrate, and any specific challenges you are facing? This will help us tailor our guidance to best suit your requirements at <name> IT Solutions."
112,pt,Solicitação de Mudança na Estratégia de TI,IT Support,IT Support,True,medium,medium,True,"Assunto: Solicitação de Mudança na Estratégia de TI

Obrigado pela sua solicitação sobre o alinhamento da estratégia de TI. Revisaremos sua submissão e responderemos com os próximos passos em breve.","Obrigado por entrar em contato conosco! Recebemos a sua solicitação de alinhamento da infraestrutura de TI com os novos objetivos de negócios e estamos analisando os detalhes fornecidos. Em breve, um membro da nossa equipe de TI entrará em contato para discutir as próximas etapas e garantir que as mudanças sejam implementadas de forma eficiente. Caso precise fornecer informações adicionais, por favor não hesite em nos contactar."
113,de,Fortlaufende Probleme mit dem HP DeskJet 3755 Drucker,Product Support,Product Support,True,medium,medium,True,"Sehr geehrte/r <name>,

Vielen Dank, dass Sie sich bezüglich der Probleme mit Ihrem HP DeskJet 3755 Drucker an uns gewandt haben. Ich entschuldige mich für die Unannehmlichkeiten, die Ihnen dadurch entstanden sind.

Um Ihnen weiterzuhelfen, stellen Sie bitte sicher, dass die Papierablage Ihres Druckers nicht überladen ist und die Papierausrichtung korrekt ist. Außerdem empfehle ich Ihnen, einen Drucker-Reset durchzuführen: Trennen Sie das Netzkabel, während der Drucker eingeschaltet ist, warten Sie 30 Sekunden und schließen Sie es dann wieder an.

Sollten diese Schritte das Problem nicht beheben, bin ich gerne bereit, einen Reparaturservice zu arrangieren oder die Möglichkeit eines Ersatzes zu besprechen. Bitte teilen Sie uns Ihre Verfügbarkeit für eine telefonische Beratung unter <tel_num> mit oder bestätigen Sie einen geeigneten Zeitraum per E-Mail.

Ich freue mich darauf, dies umgehend zu klären.

Mit besten Grüßen,
Kundenservice des Tech Online Stores","Sehr geehrte/r <name>, vielen Dank für Ihre Kontaktaufnahme und die ausführliche Schilderung Ihres Problems mit dem HP DeskJet 3755 Drucker. Es tut uns leid zu hören, dass Sie trotz der Befolgung aller Anweisungen weiterhin Papierstaus erleben, und wir verstehen, wie störend dies für Ihren Arbeitsablauf ist. Unser technisches Support-Team wird Ihre Bestellung (<order_number>) prüfen und sich zeitnah mit Ihnen in Verbindung setzen, um gemeinsam eine Lösung zu finden – sei es durch weitere Ferndiagnose, eine Reparatur oder einen Ersatz des Geräts. Bitte halten Sie Ihre Kaufunterlagen bereit, damit wir den Prozess so schnell wie möglich abwickeln können."
114,pt,"Prezado time de Suporte ao Cliente, Estou escrevendo...",Technical Support,Technical Support,True,high,high,True,"Prezado <name>,

Obrigado por entrar em contato conosco sobre as quedas de rede que afetam seu Roteador Cisco ISR4331. Entendo quão crítico esse problema é para suas operações diárias.

Para abordar sua preocupação, siga estes passos iniciais de solução de problemas:
1. Verifique o site da Cisco ou a página de suporte do seu roteador para quaisquer atualizações de firmware disponíveis e aplique-as, pois as atualizações costumam resolver problemas conhecidos.
2. Se uma atualização de firmware não resolver o problema, recomendamos realizar um teste completo de diagnóstico de hardware. Você pode consultar o manual do usuário para um guia passo a passo ou entrar em contato com nossa equipe de suporte para assistência detalhada na execução desses diagnósticos.

Caso esses passos não resolvam as quedas, entre em contato diretamente conosco para iniciar uma investigação formal. Você também pode fornecer logs detalhados do seu roteador para ajudar a acelerar nossa análise.

Estamos comprometidos em ajudá-lo a resolver esse problema o mais rápido possível. Não hesite em entrar em contato se precisar de mais informações ou suporte.

Atenciosamente,

Equipe de Suporte ao Cliente","Prezado(a) <name>, obrigado por entrar em contato e por fornecer uma descrição detalhada do problema com o seu Roteador Cisco ISR4331. Entendemos a criticidade desta situação e abrimos um chamado de alta prioridade para investigar as quedas de rede, incluindo uma análise de possíveis falhas de firmware ou hardware. Nossa equipe técnica entrará em contato em breve para solicitar logs do dispositivo e detalhes adicionais de configuração, a fim de iniciar o diagnóstico formal. Por favor, caso possível, mantenha os registros de eventos dos incidentes recentes disponíveis, pois isso agilizará significativamente o processo de resolução."
115,fr,Urgent : Ordinateur portable Dell XPS 13 9310 ne s'allume pas,Customer Service,Returns and Exchanges,False,high,high,True,"Cher <name>,

Merci de nous avoir contactés concernant le problème avec votre ordinateur portable Dell XPS 13 9310. Nous nous excusons pour les désagréments que cela a causés, surtout compte tenu du rôle critique qu'il joue dans vos opérations.

Pour traiter cela rapidement, veuillez vous assurer que l'ordinateur portable est connecté à une source d'alimentation fonctionnelle, car parfois le problème peut venir de l'adaptateur ou de la prise. Si le problème persiste, nous accélérerons le processus de réparation ou de remplacement de votre ordinateur portable. Merci de préparer toute documentation d'achat ou information de garantie pour faciliter cela.

Notre équipe vous contactera sous peu avec de plus amples instructions, ou vous pouvez nous joindre directement au <our_contact_number> pour une assistance immédiate. Nous nous engageons à résoudre ce problème efficacement.

Merci pour votre compréhension et votre patience.

Cordialement,
Équipe du service client
Boutique en ligne Tech","Cher(e) client(e), nous vous remercions de nous avoir contactés et nous nous excusons sincèrement pour les désagréments causés par ce problème avec votre ordinateur portable Dell XPS 13 9310, reçu défectueux dès réception. Étant donné que le problème a été constaté à l'ouverture de la boîte, nous allons traiter votre dossier en priorité afin d'organiser soit un remplacement, soit une réparation dans les plus brefs délais. Un membre de notre équipe prendra contact avec vous très prochainement pour vous communiquer les prochaines étapes à suivre et coordonner la procédure d'échange ou de retour. Nous vous remercions de votre patience et restons à votre entière disposition pour toute question complémentaire."
116,es,Problemas persistentes con la impresión inalámbrica,Technical Support,Product Support,False,medium,medium,True,"Estimado <name>,

Gracias por contactarnos. Lamento los inconvenientes que está enfrentando con su HP DeskJet 3755. Por favor, intente lo siguiente:
1. Reinicie su impresora y el enrutador Wi-Fi.
2. Asegúrese de que el firmware de su impresora esté actualizado.
3. Vuelva a conectar su impresora al Wi-Fi utilizando la aplicación HP Smart.

Si el problema persiste, por favor comuníquese con cualquier mensaje de error que reciba. Estamos aquí para ayudarlo rápidamente.

Atentamente,
Servicio al Cliente","Estimado/a <name>, gracias por contactarnos y lamentamos los inconvenientes que está experimentando con su impresora HP DeskJet 3755. Hemos recibido su solicitud y un agente especializado en soporte de productos revisará su caso a la brevedad posible. Le recomendamos que, mientras tanto, intente reiniciar tanto la impresora como el router y asegúrese de que el dispositivo esté dentro del rango de la red Wi-Fi. Nos pondremos en contacto con usted a través del número proporcionado para brindarle asistencia personalizada y resolver este problema cuanto antes."
117,es,Discrepancias de Facturación con la Suscripción,Billing and Payments,Billing and Payments,True,low,medium,False,"Asunto: Re: Discrepancias de Facturación con la Suscripción

Estimado <name>,

Gracias por comunicarse con nosotros sobre la discrepancia de facturación con su suscripción Google Workspace Business Standard asociada con el número de cuenta <acc_num>. Nos disculpamos por cualquier inconveniente que esto haya podido causar.

Actualmente estamos revisando su cuenta para verificar los cargos en cuestión y asegurarnos de que no haya errores. Tenga la seguridad de que si se han realizado cambios que afectan el costo de su suscripción, le proporcionaremos una explicación detallada.

Mientras tanto, no se requieren formularios ni documentos adicionales de su parte. Lo mantendremos informado tan pronto como finalicemos nuestra investigación sobre este asunto. Si necesita más ayuda o tiene alguna pregunta, no dude en contactarnos en su conveniencia.

Gracias por su paciencia y comprensión.

Atentamente,
Soporte al Cliente de Tech Online Store","Estimado/a <name>, gracias por contactarnos y por traer esta discrepancia de facturación a nuestra atención. Hemos recibido su solicitud y procederemos a realizar una revisión detallada de los cargos aplicados a su cuenta durante el último ciclo de facturación de su suscripción Google Workspace Business Standard. Le pedimos que nos permita un plazo de 2 a 3 días hábiles para investigar el asunto y proporcionarle una explicación completa sobre cualquier diferencia en el monto cobrado. Si necesitamos información adicional de su parte, nos pondremos en contacto con usted a través de los datos registrados en su cuenta."
118,de,Abweichung im AWS-Abrechnungsstatement,Billing and Payments,Billing and Payments,True,medium,high,False,"Betreff: Re: Abweichung im AWS-Abrechnungsstatement

Sehr geehrter <name>,

vielen Dank, dass Sie uns kontaktiert und uns auf diese Abweichung in der Rechnungsstellung hingewiesen haben. Wir verstehen Ihre Bedenken hinsichtlich der unerwarteten Gebühren auf Ihrer AWS-Rechnung für September.

Um dieses Problem schnell zu lösen, wird unser Abrechnungsteam eine detaillierte Überprüfung Ihres Kontos <acc_num> und der berechneten Gebühren einleiten. Wir wollen jegliche Abweichungen identifizieren und eine schnelle Lösung sicherstellen. Gegebenenfalls könnten wir noch um weitere Klärung oder zusätzliche Informationen bitten.

Bitte seien Sie versichert, dass wir dieses Anliegen prioritär behandeln und Sie so schnell wie möglich über unsere Erkenntnisse informiert werden.

Vielen Dank für Ihre Geduld und Zusammenarbeit.

Mit freundlichen Grüßen,

IT-Service-Kundensupport-Team","Sehr geehrte(r) <name>, vielen Dank für Ihre Kontaktaufnahme bezüglich der unerwarteten Gebühren auf Ihrer AWS-Rechnung für den Abrechnungszeitraum September. Wir nehmen diese Angelegenheit sehr ernst und haben Ihren Fall umgehend zur eingehenden Prüfung an unser Abrechnungsteam weitergeleitet. Ein zuständiger Mitarbeiter wird sich so bald wie möglich mit Ihnen in Verbindung setzen, um die Abweichung zu klären und eine schnelle Lösung zu finden. Bitte halten Sie in der Zwischenzeit alle relevanten Unterlagen bereit, da diese für die Untersuchung hilfreich sein könnten."
119,de,Unterstützung bei der Abrechnung erforderlich,Billing and Payments,Billing and Payments,True,medium,high,False,"Sehr geehrte/r <name>,

vielen Dank, dass Sie uns bezüglich der Abrechnungsdiskrepanzen mit Ihren AWS-Diensten kontaktiert haben. Wir verstehen die Bedeutung einer genauen Abrechnung und werden eine gründliche Überprüfung Ihres Kontos <acc_num> prioritär behandeln.

Wir werden die von Ihnen genannten Gebühren und Nutzungsdiskrepanzen untersuchen und Ihnen so schnell wie möglich eine detaillierte Klärung zukommen lassen. Bitte haben Sie etwas Geduld, während wir die Daten prüfen.

In der Zwischenzeit, wenn Sie weitere Informationen oder Fragen haben, können Sie sich gerne über diese E-Mail oder unter <tel_num> an uns wenden.

Wir schätzen Ihre Geduld und Ihr Verständnis.

Mit freundlichen Grüßen,
Kundenserviceteam","Sehr geehrter Herr/Frau IT-Manager von Tech Solutions, vielen Dank für Ihre Kontaktaufnahme bezüglich der Abrechnungsdiskrepanzen auf Ihrem Konto. Wir verstehen die Dringlichkeit dieser Angelegenheit und nehmen solche Unstimmigkeiten sehr ernst. Unser Abrechnungsteam wird Ihr Konto umgehend einer detaillierten Prüfung unterziehen und sich so schnell wie möglich mit Ihnen in Verbindung setzen, um die unerwarteten Kosten zu klären und mögliche Fehler zu beheben. Bitte halten Sie Ihre Rechnungsunterlagen bereit, damit wir den Vorgang so effizient wie möglich bearbeiten können."
120,en,"Hello Customer Support, I wish to initiate the...",IT Support,Returns and Exchanges,False,medium,medium,True,"Hello [Name], To return your Lenovo IdeaPad 5, kindly head over to our returns page, complete the form, and adhere to the directions given. Thank you!","Hello, thank you for reaching out to us regarding your Lenovo IdeaPad 5. We're sorry to hear that the product is faulty and we'd be happy to assist you with the return process. Please provide us with your order number and a brief description of the fault, and we will guide you through the next steps. We aim to resolve this for you as quickly as possible."
121,de,Anfrage zur Einrichtungshilfe,Technical Support,Technical Support,True,low,medium,False,"Sehr geehrter <name>, 

vielen Dank für Ihren Kauf. Für detaillierte Anweisungen zur Einrichtung des Cisco Routers ISR4331 verweisen wir auf das Benutzerhandbuch, das auf der offiziellen Website von Cisco verfügbar ist, oder kontaktieren Sie unser Technikteam unter <tel_num>. 

Mit freundlichen Grüßen, 
Kundenservice","Sehr geehrte/r Kunde/in, vielen Dank für Ihre Anfrage bezüglich der Einrichtung Ihres Cisco ISR4331 Routers. Wir freuen uns, Ihnen bei der Konfiguration des sicheren Verbindungsmonitorings zu helfen und werden uns so schnell wie möglich mit einer detaillierten Schritt-für-Schritt-Anleitung bei Ihnen melden. Für eine schnellere Bearbeitung bitten wir Sie, uns Ihre aktuelle Netzwerkumgebung sowie die gewünschten Monitoring-Anforderungen mitzuteilen. Unser technisches Support-Team steht Ihnen gerne zur Verfügung."
122,en,Request for MacBook Air M1 replacement,Returns and Exchanges,Returns and Exchanges,True,low,medium,False,Thank you for your message. Please follow the link to schedule your replacement: <service_link>.,"Thank you for reaching out to us regarding your MacBook Air M1. We're sorry to hear you're experiencing battery issues with your device. Please provide us with your order number, proof of purchase, and a brief description of the battery problem so we can assess your eligibility for a replacement. Our team will review your case and get back to you as soon as possible."
123,pt,Urgente: Problemas de Conectividade com o Roteador Cisco ISR4331,Technical Support,Technical Support,True,medium,high,False,"Caro <name>,

Obrigado por entrar em contato sobre os problemas de conectividade com seu Roteador Cisco ISR4331. Entendemos a urgência e o impacto que essas interrupções têm em suas operações.

Para abordar o problema de forma eficaz, recomendamos os seguintes passos:

1. **Atualização de Firmware**: Certifique-se de que o firmware do roteador esteja atualizado. Firmware desatualizado pode muitas vezes causar problemas de conectividade.
2. **Verificação de Configuração**: Revise a configuração atual em busca de possíveis desalinhamentos ou configurações incorretas.
3. **Análise de Logs de Rede**: Envie-nos logs de rede detalhados para uma avaliação mais abrangente.
4. **Avaliação de Hardware**: Se as etapas acima não resolverem o problema, talvez precisemos considerar uma avaliação ou substituição de hardware.

Por favor, forneça-nos acesso remoto, se possível, para uma inspeção e resolução completas. Nosso objetivo é resolver esse problema rapidamente para restaurar suas operações de rede. Se mais coordenação for necessária, nossa equipe de suporte entrará em contato com <name> no contato fornecido.

Manteremos você atualizado sobre nosso progresso.

Atenciosamente,

<name>
Equipe de Suporte Técnico","Prezado(a) <name>, obrigado por entrar em contato e por fornecer um diagnóstico tão detalhado sobre o problema com o Roteador Cisco ISR4331. Entendemos a criticidade da situação e escalamos seu caso para nossa equipe de suporte técnico especializada, que entrará em contato em breve para realizar uma análise aprofundada dos logs de rede e avaliar possíveis ajustes de configuração ou atualização de firmware. Enquanto isso, pedimos que o administrador de rede <name> mantenha os logs de rede coletados disponíveis, pois serão essenciais para agilizar o diagnóstico. Nosso objetivo é resolver este problema com a maior brevidade possível para minimizar o impacto nas operações da <company_name>."
124,es,Dificultades de inicio de sesión del consultor con el sistema HR,Human Resources,IT Support,False,low,high,False,"Estimado/a <name>,

Gracias por ponerse en contacto respecto a las dificultades de inicio de sesión con el sistema de HR. Entendemos la importancia de este acceso para el proceso de evaluación de su consultor.

Para asistirle rápidamente, por favor asegúrese de que las credenciales de inicio de sesión que se están utilizando sean las correctas y que no haya restricciones de red o reglas de firewall que bloqueen el acceso al sistema de HR. Si el problema persiste, amablemente proporciónenos los mensajes de error específicos que están apareciendo.

Estamos comprometidos a resolver este problema rápidamente. Nuestro equipo técnico investigará este asunto con prioridad. Por favor, háganos saber un momento conveniente para contactar a <name> al <tel_num> para más asistencia, en caso de que necesitemos más información.

Agradecemos su paciencia y comprensión.

Atentamente,
Equipo de soporte de IT Consulting","Estimado/a <name>, gracias por ponerse en contacto con nosotros y lamentamos los inconvenientes que está experimentando con el acceso al sistema de HR. Hemos recibido su solicitud y la hemos escalado como alta prioridad, dado el impacto que este problema está teniendo en el proceso de evaluación en curso. Nuestro equipo técnico se pondrá en contacto con usted a la mayor brevedad posible para investigar el error de inicio de sesión y restablecer el acceso de su consultor. Le pedimos disculpas por las molestias ocasionadas y haremos todo lo posible para resolver esta situación de forma rápida y eficiente."
